layer,mode,budget_B,effect_symKL,offmanifold_norm_ratio,variant,category
12,direction,4.032938003540039,1.9143716096878052,1.1587077379226685,0,P_LP
12,magnitude,4.032938003540039,0.031639281660318375,2.3911147117614746,0,P_LP
12,on_manifold_null,4.032938003540039,0.8835451602935791,0.9116856455802917,0,P_LP
12,full,4.032938003540039,1.8915681838989258,1.1911362409591675,0,P_LP
20,direction,5.484178066253662,1.9376065731048584,0.7571348547935486,0,P_LP
20,magnitude,5.484178066253662,0.014395410194993019,1.4252617359161377,0,P_LP
20,on_manifold_null,5.484178066253662,0.745686411857605,0.7301222681999207,0,P_LP
20,full,5.484178066253662,1.9345835447311401,0.7690208554267883,0,P_LP
24,direction,9.851218223571777,1.9495553970336914,0.7374554872512817,0,P_LP
24,magnitude,9.851218223571777,0.0035872934386134148,1.3817436695098877,0,P_LP
24,on_manifold_null,9.851218223571777,1.8426580429077148,0.7250320315361023,0,P_LP
24,full,9.851218223571777,1.9345873594284058,0.8035849332809448,0,P_LP
27,direction,38.730770111083984,1.2025223970413208,0.8659990429878235,0,P_LP
27,magnitude,38.730770111083984,0.004899594001471996,1.8272424936294556,0,P_LP
27,on_manifold_null,38.730770111083984,0.3474438190460205,0.8807337284088135,0,P_LP
27,full,38.730770111083984,1.180631160736084,1.0033601522445679,0,P_LP
12,direction,4.155292510986328,0.2144000083208084,1.239302635192871,1,P_LP
12,magnitude,4.155292510986328,0.026273876428604126,2.4637537002563477,1,P_LP
12,on_manifold_null,4.155292510986328,0.41329383850097656,0.7883568406105042,1,P_LP
12,full,4.155292510986328,0.24124294519424438,1.4048429727554321,1,P_LP
20,direction,6.216333389282227,0.2500830888748169,0.7617882490158081,1,P_LP
20,magnitude,6.216333389282227,0.013609941117465496,1.5382356643676758,1,P_LP
20,on_manifold_null,6.216333389282227,0.21616065502166748,0.8312357664108276,1,P_LP
20,full,6.216333389282227,0.24120450019836426,0.8079511523246765,1,P_LP
24,direction,9.228610038757324,0.18689081072807312,0.6306615471839905,1,P_LP
24,magnitude,9.228610038757324,0.015019048005342484,1.2791483402252197,1,P_LP
24,on_manifold_null,9.228610038757324,0.2939733564853668,0.6506092548370361,1,P_LP
24,full,9.228610038757324,0.18714168667793274,0.6375311613082886,1,P_LP
27,direction,37.47683334350586,0.1551429182291031,0.8686087727546692,1,P_LP
27,magnitude,37.47683334350586,0.16884063184261322,0.09245110303163528,1,P_LP
27,on_manifold_null,37.47683334350586,0.28394895792007446,0.8421168923377991,1,P_LP
27,full,37.47683334350586,0.1555984914302826,0.8081644177436829,1,P_LP
12,direction,1.7881561517715454,0.39215585589408875,1.4524105787277222,2,P_LP
12,magnitude,1.7881561517715454,0.004556660074740648,0.9087368845939636,2,P_LP
12,on_manifold_null,1.7881561517715454,0.0031235385686159134,1.0246537923812866,2,P_LP
12,full,1.7881561517715454,0.38726696372032166,1.443029522895813,2,P_LP
20,direction,2.7813875675201416,0.37895524501800537,0.9327101111412048,2,P_LP
20,magnitude,2.7813875675201416,0.011907062493264675,0.5647256374359131,2,P_LP
20,on_manifold_null,2.7813875675201416,0.0027375309728085995,0.7714980840682983,2,P_LP
20,full,2.7813875675201416,0.37972813844680786,0.9042987823486328,2,P_LP
24,direction,4.3729047775268555,0.35732364654541016,0.7325648665428162,2,P_LP
24,magnitude,4.3729047775268555,0.012723108753561974,0.4029221534729004,2,P_LP
24,on_manifold_null,4.3729047775268555,0.06420043855905533,0.6212946176528931,2,P_LP
24,full,4.3729047775268555,0.35775861144065857,0.7175469994544983,2,P_LP
27,direction,35.11872482299805,0.29079851508140564,1.1201752424240112,2,P_LP
27,magnitude,35.11872482299805,0.0432070828974247,0.1651599109172821,2,P_LP
27,on_manifold_null,35.11872482299805,0.04926973581314087,0.9155012369155884,2,P_LP
27,full,35.11872482299805,0.29735690355300903,0.9520922899246216,2,P_LP
12,direction,4.207370281219482,0.2163393199443817,1.3755508661270142,3,P_LP
12,magnitude,4.207370281219482,0.00692380266264081,2.6238555908203125,3,P_LP
12,on_manifold_null,4.207370281219482,0.1252622902393341,0.8939202427864075,3,P_LP
12,full,4.207370281219482,0.2723620533943176,1.4730859994888306,3,P_LP
