window_idx,mean_M1_dir_refC,std_M1_dir_refC,mean_M2_mag_refA,std_M2_mag_refA,chrom,start,end,gc_content,n_fraction,n_coding_exon,n_intron,n_5utr,n_3utr,n_splice,n_intergenic,intron_frac,exon_frac
0,4.738833333333333,0.798723130307924,28.824,0.380820167533181,chr22,10512000,10518000,0.336833,0.0,0,0,0,0,0,3000,0.0,0.0
1,4.710333333333334,0.6138076969938459,28.647333333333332,0.47780005116040836,chr22,10515000,10521000,0.388833,0.0,0,0,0,0,0,3000,0.0,0.0
2,4.444,0.8335850286563452,28.434166666666666,0.4956470238206038,chr22,10518000,10524000,0.405,0.0,0,0,0,0,0,3000,0.0,0.0
3,4.2026666666666666,0.9275017819689382,28.524,0.49942366784124287,chr22,10521000,10527000,0.425833,0.0,0,0,0,0,0,3000,0.0,0.0
4,4.089,0.9476703013179214,28.608333333333334,0.48812282152024905,chr22,10524000,10530000,0.496,0.0,0,0,0,0,0,3000,0.0,0.0
5,4.3341666666666665,1.0017481248076063,28.566333333333333,0.4955803556325541,chr22,10527000,10533000,0.415333,0.0,0,0,0,0,0,3000,0.0,0.0
6,4.217,0.8872679039238,28.498333333333335,0.4999972222145061,chr22,10530000,10536000,0.318833,0.0,0,0,0,0,0,3000,0.0,0.0
7,4.419833333333333,0.9489854085050811,28.577166666666667,0.49400941848871216,chr22,10533000,10539000,0.334167,0.0,0,0,0,0,0,3000,0.0,0.0
8,4.343166666666667,0.9291949771471839,28.423,0.49403542383112564,chr22,10536000,10542000,0.334667,0.0,0,0,0,0,0,3000,0.0,0.0
9,4.246666666666667,0.6283488061755368,28.2805,0.4492435308382303,chr22,10539000,10545000,0.32,0.0,0,0,0,0,0,3000,0.0,0.0
10,4.421166666666666,0.7557239171078872,28.586,0.49254847477177316,chr22,10542000,10548000,0.3255,0.0,0,0,0,0,0,3000,0.0,0.0
11,4.612666666666667,0.6027488881965875,28.545666666666666,0.4979101882423734,chr22,10545000,10551000,0.337833,0.0,0,0,0,0,0,3000,0.0,0.0
12,4.4845,0.7720706465948135,28.424333333333333,0.4942413940126378,chr22,10548000,10554000,0.345667,0.0,0,0,0,0,0,3000,0.0,0.0
13,4.345,0.8312490601498446,28.469333333333335,0.4990586694523556,chr22,10551000,10557000,0.338667,0.0,0,0,0,0,0,3000,0.0,0.0
14,4.587166666666667,0.5941957917125372,28.3875,0.48717938174762687,chr22,10554000,10560000,0.3675,0.0,0,0,0,0,0,3000,0.0,0.0
15,4.516,0.6563109019359651,28.504166666666666,0.4999826385874702,chr22,10557000,10563000,0.383667,0.0,0,0,0,0,0,3000,0.0,0.0
16,4.3885,0.8880133726470565,28.8175,0.3862560679135022,chr22,10560000,10566000,0.350167,0.0,0,0,0,0,0,3000,0.0,0.0
17,4.628166666666667,0.751602713465624,28.867333333333335,0.33921412444387133,chr22,10563000,10569000,0.3435,0.0,0,0,0,0,0,3000,0.0,0.0
18,4.3975,0.777491961373235,28.719833333333334,0.4490805112177053,chr22,10566000,10572000,0.3835,0.0,0,0,0,0,0,3000,0.0,0.0
19,4.090166666666667,0.915807460963032,28.501166666666666,0.4999986388870362,chr22,10569000,10575000,0.4515,0.0,0,0,0,0,0,3000,0.0,0.0
20,4.133,0.958633228438628,28.5505,0.49744321283941545,chr22,10572000,10578000,0.435833,0.0,0,0,0,0,0,3000,0.0,0.0
21,4.529,0.9100324170050208,28.564,0.4958870839213299,chr22,10575000,10581000,0.372,0.0,0,0,0,0,0,3000,0.0,0.0
22,4.585833333333333,0.7229333571560306,28.4365,0.4959513585020209,chr22,10578000,10584000,0.359833,0.0,0,0,0,0,0,3000,0.0,0.0
23,4.7445,0.9396203577332,28.638,0.4805788176771839,chr22,10581000,10587000,0.371333,0.0,0,0,0,0,0,3000,0.0,0.0
24,4.7515,1.0211502093228009,28.715,0.4514144437210666,chr22,10584000,10590000,0.370333,0.0,0,0,0,0,0,3000,0.0,0.0
25,4.368833333333333,0.7806804546177791,28.3395,0.473539597077161,chr22,10587000,10593000,0.335,0.0,0,0,0,0,0,3000,0.0,0.0
26,4.521333333333334,0.831391337190589,28.592666666666666,0.49133785615286035,chr22,10590000,10596000,0.324167,0.0,0,0,0,0,0,3000,0.0,0.0
27,4.635166666666667,0.7443542876584749,28.772166666666667,0.4194345068727126,chr22,10593000,10599000,0.353333,0.0,0,0,0,0,0,3000,0.0,0.0
28,4.428166666666667,0.6116970700890724,28.4595,0.4983570507176557,chr22,10596000,10602000,0.353833,0.0,0,0,0,0,0,3000,0.0,0.0
29,4.4126666666666665,0.645011283277708,28.371833333333335,0.48329422255553145,chr22,10599000,10605000,0.334833,0.0,0,0,0,0,0,3000,0.0,0.0
30,4.415166666666667,0.6471501414320757,28.26,0.4386342439892261,chr22,10602000,10608000,0.3195,0.0,0,0,0,0,0,3000,0.0,0.0
31,4.4031666666666665,0.6158652224490536,28.411333333333335,0.49207542330645027,chr22,10605000,10611000,0.316,0.0,0,0,0,0,0,3000,0.0,0.0
32,4.371166666666666,0.8052341101954278,28.443833333333334,0.49683529016723,chr22,10608000,10614000,0.325833,0.0,0,0,0,0,0,3000,0.0,0.0
